ALDER;OMRÅDE;CIVILSTAND;TID;INDHOLD
74 år;København;Ugift;2020K1;488
74 år;Aalborg;Ugift;2020K1;98
74 år;Odense;Ugift;2020K1;99
75 år;København;Ugift;2020K1;401
75 år;Aalborg;Ugift;2020K1;99
75 år;Odense;Ugift;2020K1;84
76 år;København;Ugift;2020K1;335
76 år;Aalborg;Ugift;2020K1;75
76 år;Odense;Ugift;2020K1;82
77 år;København;Ugift;2020K1;283
77 år;Aalborg;Ugift;2020K1;58
77 år;Odense;Ugift;2020K1;61
78 år;København;Ugift;2020K1;192
78 år;Aalborg;Ugift;2020K1;76
78 år;Odense;Ugift;2020K1;48
79 år;København;Ugift;2020K1;200
79 år;Aalborg;Ugift;2020K1;54
79 år;Odense;Ugift;2020K1;36
80 år;København;Ugift;2020K1;194
80 år;Aalborg;Ugift;2020K1;37
80 år;Odense;Ugift;2020K1;46
81 år;København;Ugift;2020K1;177
81 år;Aalborg;Ugift;2020K1;40
81 år;Odense;Ugift;2020K1;40
82 år;København;Ugift;2020K1;136
82 år;Aalborg;Ugift;2020K1;51
82 år;Odense;Ugift;2020K1;26
83 år;København;Ugift;2020K1;94
83 år;Aalborg;Ugift;2020K1;33
83 år;Odense;Ugift;2020K1;29
84 år;København;Ugift;2020K1;87
84 år;Aalborg;Ugift;2020K1;20
84 år;Odense;Ugift;2020K1;29
85 år;København;Ugift;2020K1;73
85 år;Aalborg;Ugift;2020K1;26
85 år;Odense;Ugift;2020K1;18
86 år;København;Ugift;2020K1;56
86 år;Aalborg;Ugift;2020K1;31
86 år;Odense;Ugift;2020K1;20
87 år;København;Ugift;2020K1;61
87 år;Aalborg;Ugift;2020K1;18
87 år;Odense;Ugift;2020K1;21
88 år;København;Ugift;2020K1;58
88 år;Aalborg;Ugift;2020K1;19
88 år;Odense;Ugift;2020K1;18
89 år;København;Ugift;2020K1;40
89 år;Aalborg;Ugift;2020K1;14
89 år;Odense;Ugift;2020K1;16
90 år;København;Ugift;2020K1;34
90 år;Aalborg;Ugift;2020K1;14
90 år;Odense;Ugift;2020K1;17
91 år;København;Ugift;2020K1;37
91 år;Aalborg;Ugift;2020K1;11
91 år;Odense;Ugift;2020K1;9
92 år;København;Ugift;2020K1;33
92 år;Aalborg;Ugift;2020K1;6
92 år;Odense;Ugift;2020K1;12
93 år;København;Ugift;2020K1;19
93 år;Aalborg;Ugift;2020K1;13
93 år;Odense;Ugift;2020K1;8
94 år;København;Ugift;2020K1;23
94 år;Aalborg;Ugift;2020K1;10
94 år;Odense;Ugift;2020K1;8
95 år;København;Ugift;2020K1;15
95 år;Aalborg;Ugift;2020K1;6
95 år;Odense;Ugift;2020K1;4
96 år;København;Ugift;2020K1;11
96 år;Aalborg;Ugift;2020K1;1
96 år;Odense;Ugift;2020K1;0
97 år;København;Ugift;2020K1;11
97 år;Aalborg;Ugift;2020K1;0
97 år;Odense;Ugift;2020K1;9
98 år;København;Ugift;2020K1;11
98 år;Aalborg;Ugift;2020K1;0
98 år;Odense;Ugift;2020K1;3
99 år;København;Ugift;2020K1;6
99 år;Aalborg;Ugift;2020K1;1
99 år;Odense;Ugift;2020K1;1
100 år;København;Ugift;2020K1;0
100 år;Aalborg;Ugift;2020K1;3
100 år;Odense;Ugift;2020K1;0
101 år;København;Ugift;2020K1;2
101 år;Aalborg;Ugift;2020K1;1
101 år;Odense;Ugift;2020K1;1
102 år;København;Ugift;2020K1;1
102 år;Aalborg;Ugift;2020K1;0
102 år;Odense;Ugift;2020K1;1
103 år;København;Ugift;2020K1;0
103 år;Aalborg;Ugift;2020K1;0
103 år;Odense;Ugift;2020K1;0
104 år;København;Ugift;2020K1;0
104 år;Aalborg;Ugift;2020K1;1
104 år;Odense;Ugift;2020K1;0
105 år;København;Ugift;2020K1;0
105 år;Aalborg;Ugift;2020K1;0
105 år;Odense;Ugift;2020K1;0
106 år;København;Ugift;2020K1;0
106 år;Aalborg;Ugift;2020K1;0
106 år;Odense;Ugift;2020K1;0
107 år;København;Ugift;2020K1;0
107 år;Aalborg;Ugift;2020K1;0
107 år;Odense;Ugift;2020K1;0
108 år;København;Ugift;2020K1;0
108 år;Aalborg;Ugift;2020K1;0
108 år;Odense;Ugift;2020K1;0
109 år;København;Ugift;2020K1;0
109 år;Aalborg;Ugift;2020K1;0
109 år;Odense;Ugift;2020K1;0
110 år;København;Ugift;2020K1;0
110 år;Aalborg;Ugift;2020K1;0
110 år;Odense;Ugift;2020K1;0
111 år;København;Ugift;2020K1;0
111 år;Aalborg;Ugift;2020K1;0
111 år;Odense;Ugift;2020K1;0
112 år;København;Ugift;2020K1;0
112 år;Aalborg;Ugift;2020K1;0
112 år;Odense;Ugift;2020K1;0
113 år;København;Ugift;2020K1;0
113 år;Aalborg;Ugift;2020K1;0
113 år;Odense;Ugift;2020K1;0
114 år;København;Ugift;2020K1;0
114 år;Aalborg;Ugift;2020K1;0
114 år;Odense;Ugift;2020K1;0
115 år;København;Ugift;2020K1;0
115 år;Aalborg;Ugift;2020K1;0
115 år;Odense;Ugift;2020K1;0
116 år;København;Ugift;2020K1;0
116 år;Aalborg;Ugift;2020K1;0
116 år;Odense;Ugift;2020K1;0
117 år;København;Ugift;2020K1;0
117 år;Aalborg;Ugift;2020K1;0
117 år;Odense;Ugift;2020K1;0
118 år;København;Ugift;2020K1;0
118 år;Aalborg;Ugift;2020K1;0
118 år;Odense;Ugift;2020K1;0
119 år;København;Ugift;2020K1;0
119 år;Aalborg;Ugift;2020K1;0
119 år;Odense;Ugift;2020K1;0
120 år;København;Ugift;2020K1;0
120 år;Aalborg;Ugift;2020K1;0
120 år;Odense;Ugift;2020K1;0
121 år;København;Ugift;2020K1;0
121 år;Aalborg;Ugift;2020K1;0
121 år;Odense;Ugift;2020K1;0
122 år;København;Ugift;2020K1;0
122 år;Aalborg;Ugift;2020K1;0
122 år;Odense;Ugift;2020K1;0
123 år;København;Ugift;2020K1;0
123 år;Aalborg;Ugift;2020K1;0
123 år;Odense;Ugift;2020K1;0
124 år;København;Ugift;2020K1;0
124 år;Aalborg;Ugift;2020K1;0
124 år;Odense;Ugift;2020K1;0
125 år;København;Ugift;2020K1;0
125 år;Aalborg;Ugift;2020K1;0
125 år;Odense;Ugift;2020K1;0
