OMRÅDE;ALDER;TID;INDHOLD
Aalborg;17 år;2020K1;2177
Aalborg;18 år;2020K1;2240
Aalborg;19 år;2020K1;2729
Aalborg;20 år;2020K1;3504
Aalborg;21 år;2020K1;4645
Aalborg;22 år;2020K1;5302
Aalborg;23 år;2020K1;5566
Aalborg;24 år;2020K1;5242
Aalborg;25 år;2020K1;5035
Aalborg;26 år;2020K1;4412
Aalborg;27 år;2020K1;4201
Aalborg;28 år;2020K1;3697
Aalborg;29 år;2020K1;3448
Aalborg;30 år;2020K1;3194
Aalborg;31 år;2020K1;2902
Aalborg;32 år;2020K1;2763
Aalborg;33 år;2020K1;2617
Aalborg;34 år;2020K1;2587
Aalborg;35 år;2020K1;2428
Aalborg;36 år;2020K1;2296
Aalborg;37 år;2020K1;2411
Aalborg;38 år;2020K1;2312
Aalborg;39 år;2020K1;2400
Aalborg;40 år;2020K1;2498
Aalborg;41 år;2020K1;2485
Aalborg;42 år;2020K1;2460
Aalborg;43 år;2020K1;2546
Aalborg;44 år;2020K1;2668
Aalborg;45 år;2020K1;2556
Aalborg;46 år;2020K1;2401
Aalborg;47 år;2020K1;2702
Aalborg;48 år;2020K1;2491
Aalborg;49 år;2020K1;2496
Aalborg;50 år;2020K1;2434
Aalborg;51 år;2020K1;2632
Aalborg;52 år;2020K1;2645
Aalborg;53 år;2020K1;2966
Aalborg;54 år;2020K1;2783
Aalborg;55 år;2020K1;2685
Aalborg;56 år;2020K1;2690
Aalborg;57 år;2020K1;2581
Aalborg;58 år;2020K1;2443
Aalborg;59 år;2020K1;2418
Aalborg;60 år;2020K1;2231
Aalborg;61 år;2020K1;2433
Aalborg;62 år;2020K1;2204
Aalborg;63 år;2020K1;2299
Aalborg;64 år;2020K1;2215
Aalborg;65 år;2020K1;2165
Aalborg;66 år;2020K1;2128
Aalborg;67 år;2020K1;2110
Aalborg;68 år;2020K1;2113
Aalborg;69 år;2020K1;2096
Aalborg;70 år;2020K1;2123
Aalborg;71 år;2020K1;2209
Aalborg;72 år;2020K1;2228
Aalborg;73 år;2020K1;2223
Aalborg;74 år;2020K1;2175
Aalborg;75 år;2020K1;1981
Aalborg;76 år;2020K1;1760
Aalborg;77 år;2020K1;1635
Aalborg;78 år;2020K1;1435
Aalborg;79 år;2020K1;1310
Aalborg;80 år;2020K1;1178
Aalborg;81 år;2020K1;1122
Aalborg;82 år;2020K1;1040
Aalborg;83 år;2020K1;915
Aalborg;84 år;2020K1;775
Aalborg;85 år;2020K1;692
Aalborg;86 år;2020K1;678
Aalborg;87 år;2020K1;499
Aalborg;88 år;2020K1;470
Aalborg;89 år;2020K1;386
Aalborg;90 år;2020K1;359
Aalborg;91 år;2020K1;311
Aalborg;92 år;2020K1;225
Aalborg;93 år;2020K1;171
Aalborg;94 år;2020K1;143
Aalborg;95 år;2020K1;112
Aalborg;96 år;2020K1;64
Aalborg;97 år;2020K1;41
Aalborg;98 år;2020K1;41
Aalborg;99 år;2020K1;23
Aalborg;100 år;2020K1;20
Aalborg;101 år;2020K1;8
Aalborg;102 år;2020K1;5
Aalborg;103 år;2020K1;2
Aalborg;104 år;2020K1;3
Aalborg;105 år;2020K1;0
Aalborg;106 år;2020K1;3
Aalborg;107 år;2020K1;0
Aalborg;108 år;2020K1;0
Aalborg;109 år;2020K1;0
Aalborg;110 år;2020K1;0
Aalborg;111 år;2020K1;0
Aalborg;112 år;2020K1;0
Aalborg;113 år;2020K1;0
Aalborg;114 år;2020K1;0
Aalborg;115 år;2020K1;0
Aalborg;116 år;2020K1;0
Aalborg;117 år;2020K1;0
Aalborg;118 år;2020K1;0
Aalborg;119 år;2020K1;0
Aalborg;120 år;2020K1;0
Aalborg;121 år;2020K1;0
Aalborg;122 år;2020K1;0
Aalborg;123 år;2020K1;0
Aalborg;124 år;2020K1;0
Aalborg;125 år;2020K1;0
