CIVILSTAND;ALDER;OMRÅDE;TID;INDHOLD
Gift/separeret;59 år;Odense;2020K1;1245
Gift/separeret;60 år;København;2020K1;2381
Gift/separeret;60 år;Aalborg;2020K1;1382
Gift/separeret;60 år;Odense;2020K1;1314
Gift/separeret;61 år;København;2020K1;2330
Gift/separeret;61 år;Aalborg;2020K1;1486
Gift/separeret;61 år;Odense;2020K1;1258
Gift/separeret;62 år;København;2020K1;2264
Gift/separeret;62 år;Aalborg;2020K1;1379
Gift/separeret;62 år;Odense;2020K1;1296
Gift/separeret;63 år;København;2020K1;2270
Gift/separeret;63 år;Aalborg;2020K1;1403
Gift/separeret;63 år;Odense;2020K1;1307
Gift/separeret;64 år;København;2020K1;2183
Gift/separeret;64 år;Aalborg;2020K1;1414
Gift/separeret;64 år;Odense;2020K1;1336
Gift/separeret;65 år;København;2020K1;2089
Gift/separeret;65 år;Aalborg;2020K1;1376
Gift/separeret;65 år;Odense;2020K1;1199
Gift/separeret;66 år;København;2020K1;2078
Gift/separeret;66 år;Aalborg;2020K1;1397
Gift/separeret;66 år;Odense;2020K1;1233
Gift/separeret;67 år;København;2020K1;1905
Gift/separeret;67 år;Aalborg;2020K1;1383
Gift/separeret;67 år;Odense;2020K1;1153
Gift/separeret;68 år;København;2020K1;1876
Gift/separeret;68 år;Aalborg;2020K1;1365
Gift/separeret;68 år;Odense;2020K1;1137
Gift/separeret;69 år;København;2020K1;1890
Gift/separeret;69 år;Aalborg;2020K1;1366
Gift/separeret;69 år;Odense;2020K1;1198
Gift/separeret;70 år;København;2020K1;1724
Gift/separeret;70 år;Aalborg;2020K1;1352
Gift/separeret;70 år;Odense;2020K1;1142
Gift/separeret;71 år;København;2020K1;1827
Gift/separeret;71 år;Aalborg;2020K1;1469
Gift/separeret;71 år;Odense;2020K1;1192
Gift/separeret;72 år;København;2020K1;1851
Gift/separeret;72 år;Aalborg;2020K1;1444
Gift/separeret;72 år;Odense;2020K1;1256
Gift/separeret;73 år;København;2020K1;1740
Gift/separeret;73 år;Aalborg;2020K1;1426
Gift/separeret;73 år;Odense;2020K1;1257
Gift/separeret;74 år;København;2020K1;1578
Gift/separeret;74 år;Aalborg;2020K1;1441
Gift/separeret;74 år;Odense;2020K1;1186
Gift/separeret;75 år;København;2020K1;1398
Gift/separeret;75 år;Aalborg;2020K1;1238
Gift/separeret;75 år;Odense;2020K1;1075
Gift/separeret;76 år;København;2020K1;1255
Gift/separeret;76 år;Aalborg;2020K1;1070
Gift/separeret;76 år;Odense;2020K1;904
Gift/separeret;77 år;København;2020K1;1090
Gift/separeret;77 år;Aalborg;2020K1;948
Gift/separeret;77 år;Odense;2020K1;836
Gift/separeret;78 år;København;2020K1;832
Gift/separeret;78 år;Aalborg;2020K1;792
Gift/separeret;78 år;Odense;2020K1;737
Gift/separeret;79 år;København;2020K1;734
Gift/separeret;79 år;Aalborg;2020K1;719
Gift/separeret;79 år;Odense;2020K1;583
Gift/separeret;80 år;København;2020K1;675
Gift/separeret;80 år;Aalborg;2020K1;611
Gift/separeret;80 år;Odense;2020K1;563
Gift/separeret;81 år;København;2020K1;527
Gift/separeret;81 år;Aalborg;2020K1;574
Gift/separeret;81 år;Odense;2020K1;512
Gift/separeret;82 år;København;2020K1;406
Gift/separeret;82 år;Aalborg;2020K1;485
Gift/separeret;82 år;Odense;2020K1;489
Gift/separeret;83 år;København;2020K1;376
Gift/separeret;83 år;Aalborg;2020K1;425
Gift/separeret;83 år;Odense;2020K1;356
Gift/separeret;84 år;København;2020K1;318
Gift/separeret;84 år;Aalborg;2020K1;312
Gift/separeret;84 år;Odense;2020K1;328
Gift/separeret;85 år;København;2020K1;238
Gift/separeret;85 år;Aalborg;2020K1;251
Gift/separeret;85 år;Odense;2020K1;239
Gift/separeret;86 år;København;2020K1;215
Gift/separeret;86 år;Aalborg;2020K1;241
Gift/separeret;86 år;Odense;2020K1;213
Gift/separeret;87 år;København;2020K1;151
Gift/separeret;87 år;Aalborg;2020K1;163
Gift/separeret;87 år;Odense;2020K1;152
Gift/separeret;88 år;København;2020K1;134
Gift/separeret;88 år;Aalborg;2020K1;142
Gift/separeret;88 år;Odense;2020K1;149
Gift/separeret;89 år;København;2020K1;94
Gift/separeret;89 år;Aalborg;2020K1;100
Gift/separeret;89 år;Odense;2020K1;86
Gift/separeret;90 år;København;2020K1;73
Gift/separeret;90 år;Aalborg;2020K1;76
Gift/separeret;90 år;Odense;2020K1;64
Gift/separeret;91 år;København;2020K1;61
Gift/separeret;91 år;Aalborg;2020K1;81
Gift/separeret;91 år;Odense;2020K1;53
Gift/separeret;92 år;København;2020K1;54
Gift/separeret;92 år;Aalborg;2020K1;42
Gift/separeret;92 år;Odense;2020K1;37
Gift/separeret;93 år;København;2020K1;23
Gift/separeret;93 år;Aalborg;2020K1;29
Gift/separeret;93 år;Odense;2020K1;33
Gift/separeret;94 år;København;2020K1;19
Gift/separeret;94 år;Aalborg;2020K1;17
Gift/separeret;94 år;Odense;2020K1;13
Gift/separeret;95 år;København;2020K1;11
Gift/separeret;95 år;Aalborg;2020K1;9
Gift/separeret;95 år;Odense;2020K1;6
Gift/separeret;96 år;København;2020K1;5
